rq_time,start,end,request_id,is_multimodal,modal_state,transfer_station_ids,max_transfers
194,2966,2977,0,1,2,s15,1
217,2966,2973,1,0,0,-1,1
301,2976,2966,2,1,1,s15,1
388,2982,2980,3,0,0,-1,1
397,2977,2968,4,1,3,s15;s1,1
679,2966,2985,5,1,2,s15,1
890,2993,2988,6,0,0,-1,1
896,2966,2973,7,1,2,s15,1
933,2977,2986,8,1,3,s15;s1,1
959,2976,2982,9,0,0,-1,1
983,2977,2966,10,1,1,s15,1
1085,2966,2981,11,1,2,s15,1
1092,2992,2980,12,0,0,-1,1
1185,2987,2984,13,0,0,-1,1
1204,2966,2981,14,1,2,s15,1
1320,2993,2980,15,1,1,s1,1
1449,2977,2967,16,1,3,s15;s1,1
1511,2984,2966,17,1,1,s15,1
1514,2989,2977,18,1,3,s1;s15,1
1558,2989,2975,19,1,3,s1;s15,1
1587,2981,2979,20,0,0,-1,1
1659,2978,2966,21,1,1,s15,1
1668,2966,2982,22,1,2,s15,1
1681,2967,2980,23,1,1,s1,1
1725,2966,2977,24,1,2,s15,1
1735,2990,2982,25,1,3,s1;s15,1
2045,2980,2993,26,1,2,s1,1
2045,2969,2993,27,0,0,-1,1
2127,2973,2966,28,1,1,s15,1
2198,2966,2976,29,1,2,s15,1
2309,2986,2966,30,1,1,s15,1
2383,2989,2978,31,1,3,s1;s15,1
2416,2981,2969,32,1,3,s15;s1,1
2494,2992,2980,33,1,1,s1,1
2540,2980,2970,34,1,2,s1,1
2626,2990,2988,35,1,3,s1;s15,1
2727,2972,2985,36,0,0,-1,1
2803,2970,2972,37,0,0,-1,1
2881,2993,2980,38,1,1,s1,1
2912,2992,2982,39,1,3,s1;s15,1
2947,2990,2981,40,0,0,-1,1
3008,2966,2982,41,1,2,s15,1
3064,2986,2970,42,0,0,-1,1
3088,2973,2966,43,1,1,s15,1
3109,2967,2981,44,1,3,s1;s15,1
3303,2980,2971,45,1,2,s1,1
3373,2976,2987,46,0,0,-1,1
3437,2971,2966,47,1,1,s15,1
3616,2966,2982,48,1,2,s15,1
3637,2983,2966,49,1,1,s15,1
3725,2974,2966,50,1,1,s15,1
3846,2966,2988,51,1,2,s15,1
3855,2969,2979,52,1,3,s1;s15,1
3881,2980,2990,53,1,2,s1,1
4260,2980,2992,54,1,2,s1,1
4325,2972,2991,55,0,0,-1,1
4341,2979,2969,56,1,3,s15;s1,1
4394,2983,2967,57,1,3,s15;s1,1
4464,2981,2971,58,0,0,-1,1
4476,2966,2981,59,1,2,s15,1
4564,2980,2969,60,1,2,s1,1
4621,2979,2968,61,1,3,s15;s1,1
4642,2991,2980,62,1,1,s1,1
4722,2989,2967,63,0,0,-1,1
4877,2978,2992,64,1,3,s15;s1,1
4944,2980,2972,65,1,2,s1,1
4960,2979,2966,66,1,1,s15,1
4984,2987,2966,67,1,1,s15,1
4997,2980,2992,68,1,2,s1,1
5118,2968,2980,69,1,1,s1,1
5177,2993,2977,70,1,3,s1;s15,1
5237,2985,2967,71,1,3,s15;s1,1
5401,2967,2981,72,0,0,-1,1
5459,2980,2969,73,1,2,s1,1
5470,2969,2979,74,0,0,-1,1
5486,2984,2993,75,1,3,s15;s1,1
5505,2984,2992,76,1,3,s15;s1,1
5531,2986,2966,77,1,1,s15,1
5541,2970,2981,78,1,3,s1;s15,1
5563,2978,2975,79,0,0,-1,1
5571,2980,2993,80,1,2,s1,1
5580,2984,2969,81,0,0,-1,1
5622,2970,2980,82,1,1,s1,1
5637,2975,2976,83,0,0,-1,1
5701,2966,2987,84,1,2,s15,1
5726,2971,2978,85,0,0,-1,1
5788,2969,2982,86,1,3,s1;s15,1
6062,2978,2993,87,1,3,s15;s1,1
6252,2966,2982,88,1,2,s15,1
6437,2992,2980,89,0,0,-1,1
6580,2982,2966,90,1,1,s15,1
6617,2973,2982,91,0,0,-1,1
6648,2973,2966,92,1,1,s15,1
6685,2967,2974,93,1,3,s1;s15,1
6707,2968,2991,94,0,0,-1,1
6850,2966,2987,95,1,2,s15,1
6886,2991,2980,96,1,1,s1,1
6910,2983,2993,97,1,3,s15;s1,1
6944,2976,2966,98,1,1,s15,1
7152,2988,2980,99,1,1,s1,1
